EmployeeID,Date,Login,Logout
10001,2024-06-03,08:59,18:31
10001,2024-06-04,09:47,19:07
10001,2024-06-10,08:30,17:30
10001,2024-06-14,08:05,17:00
10001,2024-06-17,09:00,18:00
10001,2024-06-20,08:00,17:00
10001,2024-07-01,08:00,17:00
10001,2024-07-16,09:00,18:00
10001,2024-08-01,08:10,17:00
10001,2024-08-16,08:00,17:00
10001,2024-09-02,08:00,17:00
10001,2024-09-16,08:00,17:00
10001,2024-10-01,08:00,17:00
10001,2024-10-16,08:00,17:00
10001,2024-11-04,08:00,17:00
10001,2024-11-18,08:00,17:00
10001,2024-12-02,08:00,17:00
10001,2024-12-16,08:00,17:00
